#            id              z           maxz            snr         maxzsnr
#
           2376         0.4859            -99          2.823            -99
           2378         0.2775            -99           1.29            -99
           2387           2.26            -99         0.9734            -99
           2395         0.4468            -99      3.838e-05            -99
           2399           2.29            -99          2.877            -99
           2408         0.5287         0.5687          6.485        5.37721
           2412          0.836            -99          1.188            -99
           2417          1.097            -99          2.978            -99
           2418          1.052            -99          4.591            -99
           2432           1.27           1.63          10.12          5.045
           2433         0.8126            -99          1.387            -99
           2440         0.8253         1.1853          12.63        5.02082
           2449         0.5476            -99           4.74            -99
           2455          1.145          1.985          23.75         5.1083
           2463         0.2113         0.3713          54.76         5.5135
           2488          0.875          1.015          8.581        5.27459
           2489          2.608          7.608          10.86        6.00104
           2500          1.792            -99          2.475            -99
           2509          1.082            -99         0.8349            -99
           2510         0.6823            -99        0.04796            -99
           2513          1.028          1.208          7.869        5.21831
           2518         0.6342         0.6742          5.645        5.00954
           2524          1.423            -99          1.933            -99
           2525          1.142          1.622          12.75        5.02468
           2540          2.295          2.675          7.631        5.09318
           2543         0.9365            -99         0.9805            -99
           2544         0.9119            -99      5.102e-05            -99
           2552          4.123            -99          0.542            -99
           2561           1.27            -99          3.518            -99
           2569         0.3813            -99          3.328            -99
           2574         0.5378            -99          1.896            -99
           2577          1.873            -99          4.941            -99
           2578           2.14            -99          1.369            -99
           2587           2.52            -99          1.915            -99
           2588         0.5869            -99          1.398            -99
           2591          2.123            -99          1.796            -99
           2592          4.715          9.715          18.08        5.26041
           2594          1.152          1.432          9.111        5.11828
           2596          2.179            -99          2.166            -99
           2605          1.239            -99          2.728            -99
           2608          1.255            -99      4.221e-05            -99
           2615          0.944            -99          3.508            -99
           2619          2.184            -99      5.863e-05            -99
           2622          0.401            -99          3.568            -99
           2625         0.8352         1.2352          14.75        5.14883
           2643           1.28           1.62          9.658        5.16652
           2648         0.8399            -99          2.615            -99
           2652          1.224            -99         0.9997            -99
           2655          3.396            -99        0.06518            -99
           2660         0.8751            -99          1.114            -99
           2667           1.26            -99          3.339            -99
           2668          2.626            -99          1.272            -99
           2670          0.947          1.007          5.851         5.1261
           2671         0.2311            -99          1.547            -99
           2674          2.006            -99          1.005            -99
           2677          2.197            -99          1.418            -99
           2681           2.95            -99          0.157            -99
           2682          0.946          0.946          5.022              0
           2683          1.586            -99          2.757            -99
           2687         0.3565            -99          3.786            -99
           2697          3.671            -99           4.66            -99
           2705          1.151            -99      3.624e-05            -99
           2715          1.321            -99            4.8            -99
           2716           2.04            -99      5.986e-05            -99
           2720          1.224            -99          2.376            -99
           2722           2.07            -99          1.542            -99
           2725          1.147            -99          1.866            -99
           2728          1.207          2.067          23.41        5.06334
           2738          1.987          2.727          11.27        5.02065
           2739          0.972          1.272          9.675         5.0558
           2740              1            -99          1.753            -99
           2741         0.9519            -99          1.724            -99
           2746          1.221          1.741          15.15        5.03026
           2758         0.8199            -99          1.823            -99
           2767          1.346            -99          4.775            -99
           2769           2.44            -99          1.657            -99
