#        _id   snrFIRSMM     zFIRSMM      snr100      snr160      snr250      snr350      snr500      snr850     snr1160
#
        1434       9.343      0.4852       8.008       4.491       1.729         -99         -99      1e-109         -99
        1437       1.237       1.344      0.7705      0.9676         -99         -99         -99      1e-109         -99
        1445        20.7       2.404       11.09       12.22       6.149       9.892       3.093   8.675e-51       3.303
        1449       5.841       0.513       5.076       2.889         -99         -99         -99      1e-109         -99
        1452       5.717        1.34      0.6827       5.655   6.946e-08      0.4794         -99   8.675e-51         -99
        1458       9.427       1.485       6.869       3.785        5.04       1.399         -99      1e-109         -99
        1469   3.212e-05       1.102   3.212e-05         -99         -99         -99         -99      1e-109         -99
        1475       18.82       1.833       10.63       10.95       8.937       5.797       2.713   5.017e-09      0.5847
        1476       4.496      0.8411       1.436       4.075       1.245         -99         -99      1e-109         -99
        1477      0.5774       0.011      0.5774         -99         -99         -99         -99      1e-109         -99
        1479       1.462      0.9262       1.462   1.262e-05         -99         -99         -99      1e-109         -99
        1480   3.379e-05       2.713   3.092e-05   1.361e-05         -99         -99         -99      1e-109         -99
        1490       6.984         1.9       4.182       4.837       2.023       1.538      0.9449      0.7179      0.1522
        1491       10.49       0.837       8.291       5.561       3.195      0.4091         -99      1e-109         -99
        1495       1.667       1.801    3.05e-05   1.703e-05      0.3584       1.438      0.7617      1e-109         -99
        1497       1.407        2.28   4.885e-05       1.281         -99         -99         -99      0.5826         -99
        1501       12.35       1.433       2.599       7.092       8.915       3.886      0.8776      1e-109         -99
        1502   5.446e-05        2.03   5.142e-05   1.795e-05         -99         -99         -99      1e-109         -99
        1513        1.84       1.011        1.01       1.538         -99         -99         -99      1e-109         -99
        1515       12.83       1.195       7.015       4.966       8.622       3.091       2.631      1e-109         -99
